breakingSelfDescriptiveness,forgettingHypermedia,ignoringCaching,ignoringMIMEType,ignoringStatusCode,misusingCookies,amorphousURI,pattern-amorphousURI,CRUDyURI,pattern-CRUDyURI,contextlessResource,pattern-contextlessResource,nonHierarchicalNodes,pattern-nonHierarchicalNodes,pluralisedNodes,pattern-pluralisedNodes
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0
1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0
1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
